NVIDIA Corporation,223.87,237.48,208.9,238.0,115.67,346.47,230,300,2022-02-25 11:10:28,13.609999999999985,6.079421092598376,True,US,Dollar
Vodafone Idea Ltd,9.65,10.25,9.9,10.5,4.55,16.8,10.2,11.5,2022-02-25 11:10:51,0.5999999999999996,6.217616580310877,True,IN,INR
Steel Authority of India Limited,85.0,92.2,88.4,92.15,67.1,151.3,91.6,130,2022-02-25 11:10:52,7.200000000000003,8.470588235294121,True,IN,INR
Birlasoft Ltd,382.2,406.2,397.2,411.0,215.9,585.85,406.0,500,2022-02-25 11:10:53,24.0,6.279434850863422,True,IN,INR
Trident Ltd,50.15,51.2,47.65,52.0,13.1,70.35,51.05,70,2022-02-25 11:10:54,1.0500000000000043,2.0937188434696,True,IN,INR
KPIT Technologies Ltd,543.35,566.65,554.1,588.0,135.2,801.0,563.2,700,2022-02-25 11:10:56,23.299999999999955,4.288212018036248,True,IN,INR
Jubilant Ingrevia Ltd,461.75,488.1,477.35,495.8,241.3,838.75,487.6,700,2022-02-25 11:10:57,26.350000000000023,5.706551164049816,False,IN,INR
Infosys Ltd,1678.15,1709.9,1696.85,1728.15,1244.75,1953.9,1700,2000,2022-02-25 11:10:58,31.75,1.8919643655215563,False,IN,INR
Tata Power Company Limited,204.3,219.9,209.55,220.95,89.9,267.85,219.35,241.1,2022-02-25 11:11:02,15.599999999999994,7.6358296622613775,True,IN,INR
Tata Motors Limited,427.95,460.35,441.6,465.7,268.45,536.7,459.65,510,2022-02-25 11:11:03,32.400000000000034,7.5709779179810806,False,IN,INR
Coforge Ltd,4226.05,4459.9,4260.0,4475.0,2450.5,6135.0,4317,4759,2022-02-25 11:11:04,233.84999999999945,5.53353604429667,False,IN,INR
Bharti Airtel Limited,670.9,692.5,677.5,693.8,490.34,781.8,691.85,750,2022-02-25 11:11:05,21.600000000000023,3.219555820539577,True,IN,INR
Coal India Ltd,150.0,157.95,152.25,157.95,123.4,203.8,157.2,170,2022-02-25 11:11:06,7.949999999999989,5.299999999999992,False,IN,INR
Hindustan Copper Ltd.,105.65,113.5,109.3,113.85,105.0,196.75,113.2,150,2022-02-25 11:11:07,7.849999999999994,7.430194036914334,False,IN,INR
Indian Oil Corporation Ltd,110.0,113.5,111.15,118.5,86.75,141.5,110,140,2022-02-25 11:11:08,3.5,3.1818181818181817,True,IN,INR
Oil & Natural Gas Corporation Limited,156.65,160.05,156.8,159.95,97.45,176.35,159.6,171.35,2022-02-25 11:11:09,3.4000000000000057,2.170443664219601,True,IN,INR
Reliance Industries Ltd,2255.75,2297.0,2276.25,2307.95,1876.7,2751.35,2293.8,2450,2022-02-25 11:11:10,41.25,1.8286600908788653,False,IN,INR
Affle (India) Ltd,1114.5,1172.9,1154.9,1177.85,763.02,1511.0,1170.0,1300,2022-02-25 11:11:11,58.40000000000009,5.240017945266944,False,IN,INR
